code,label_en
AF_81L,Trade credits and advances - liabilities
B101,Change in net worth due to saving and capital transfers
B102,Changes in net worth due to other changes in volume of assets
B103,Changes in net worth due to nominal holding gains and losses
B11,External balance of goods and services
B111,External balance - goods
B112,External balance - services
B12,Current external balance
B1G,"Value added, gross"
B1GQ,Gross domestic product at market prices
B1G_CLV2020,"Value added, gross - chain linked volumes reference year 2020"
B1N,"Value added, net"
B1NQ,Net domestic product at market prices
B2A3G,"Operating surplus and mixed income, gross"
B2A3N,"Operating surplus and mixed income, net"
B2G,"Operating surplus, gross"
B2G_B3G_RAT_S11,Gross profit share of non-financial corporations (B2G_B3G/B1G*100)
B2N,Net operating surplus
B3G,"Mixed income, gross"
B4G,"Entrepreneurial income, gross"
B4N,"Entrepreneurial income, net"
B5G,"National income/balance of primary incomes, gross"
B5GQ,Gross national income at market prices
B5N,"Balance of primary incomes/national income, net"
B5NQ,Net national income at market prices
B6G,"Disposable income, gross"
B6G_R_HAB,Gross disposable income of households in real terms per capita
B6G_R_HAB_2008,Gross disposable income of households in real terms per capita (2008=100)
B6G_R_HAB_2010,Gross disposable income of households in real terms per capita (2010=100)
B6G_R_HAB_GR,Gross disposable income of households in real terms per capita (percentage change on previous period)
B6N,"Disposable income, net"
B7G,"Adjusted disposable income, gross"
B7G_EU27_2020_HAB,"Adjusted disposable income per capita, gross (EU27_2020=100)"
B7G_N_HAB_GR,Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)
B7G_R_HAB,Adjusted gross disposable income of households in real terms per capita (units of currency)
B7G_R_HAB_2008,Adjusted gross disposable income of households in real terms per capita (2008=100)
B7G_R_HAB_2010,Adjusted gross disposable income of households in real terms per capita (2010=100)
B7G_R_HAB_GR,Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)
B7N,"Adjusted disposable income, net"
B8G,"Saving, gross"
B8N,"Saving, net"
B9,Net lending (+)/net borrowing (-)
B9F,Net financial transactions
B9FX9,Discrepancy with the financial net lending/net borrowing (B9F-B9)
B9X9F,Discrepancy with the financial net lending/net borrowing
B9_OB,Net lending (+)/net borrowing (-) of other bodies of the subsector included in the working balance
B9_T3,Net lending (-)/net borrowing (+) (reversed sign)
BF90,Financial net worth
CAP,Capital expenditure
CAP_OTH,Other capital expenditure
CUR,Current expenditure
D1,Compensation of employees
D11,Wages and salaries
D11PAY,"Wages and salaries, expenditure"
D12,Employers' social contributions
D12PAY,"Employers' social contributions, expenditures"
D1PAY,"Compensation of employees, expenditure"
D1_D61NET,Compensation of employees and net social contributions (RECV-PAID)
D1_SAL_HW,Compensation of employees per hour worked
D1_SAL_PER,Compensation per employee
D2,Taxes on production and imports
D21,Taxes on products
D211,Value added type taxes (VAT)
D211REC,"Value added type taxes (VAT), revenue"
D212,Taxes and duties on imports excluding VAT
D2121,Import duties
D2122,Taxes on imports excluding VAT and import duties
D2122A,Levies on imported agricultural products
D2122B,Monetary compensatory amounts on imports
D2122C,Excise duties
D2122D,General sales taxes
D2122E,Taxes on specific services
D2122F,Profits of import monopolies
D214,"Taxes on products, except VAT and import taxes"
D214A,Excise duties and consumption taxes
D214B,Stamp taxes
D214C,Taxes on financial and capital transactions
D214D,Car registration taxes
D214E,Taxes on entertainment
D214F,"Taxes on lotteries, gambling and betting"
D214G,Taxes on insurance premiums
D214H,Other taxes on specific services
D214I,General sales or turnover taxes
D214J,Profits of fiscal monopolies
D214K,Export duties and monetary compensatory amounts on exports
D214L,Other taxes on products n.e.c.
D21REC,"Taxes on products, revenue"
D21X31,Taxes less subsidies on products
D29,Other taxes on production
D29A,"Taxes on land, buildings and other structures"
D29B,Taxes on the use of fixed assets
D29C,Total wage bill and payroll taxes
D29D,Taxes on international transactions
D29E,Business and professional licences
D29F,Taxes on pollution
D29G,Under-compensation of VAT (flat rate system)
D29H,Other taxes on production n.e.c.
D29PAY,"Other taxes on production, expenditure"
D29REC,"Other taxes on production, revenue"
D29X39,Other taxes less other subsidies on production
D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements"""
D2REC,"Taxes on production and imports, revenue"
D2X3,Taxes on production and imports less subsidies
D2_D5_D91,Total tax receipts
D2_D5_D91_D61_M_D611V_D612_M_M_D613V_D614_M_D995,Total receipts from taxes and compulsory social contributions after deduction of amounts assessed but unlikely to be collected
D2_D5_D91_D61_M_D612_M_D614_M_D995,Total receipts from taxes and social contributions after deduction of amounts assessed but unlikely to be collected
D2_D5_D91_D61_M_D995,Total receipts from taxes and social contributions (including imputed social contributions) after deduction of amounts assessed but unlikely to be collected
D3,Subsidies
D31,Subsidies on products
D31PAY,"Subsidies on products, expenditure"
D39,Other subsidies on production
D39PAY,"Other subsidies on production, expenditure"
D39REC,"Other subsidies on production, revenue"
D3PAY,"Subsidies, expenditure"
D3REC_S212,"Subsidies, revenue from the EU institutions"
D4,Property income
D41,Interest
D41G,Total interest before FISIM allocation
D41GPAY,"Total interest before FISIM allocation, expenditure"
D41GREC,"Total interest before FISIM allocation, revenue"
D41PAY,"Interest, expenditure"
D41REC,"Interest, revenue"
D42,Distributed income of corporations
D421,Dividends
D422,Withdrawals from the income of quasi-corporations
D42PAY,"Distributed income of corporations, expenditure"
D42REC,"Distributed income of corporations, revenue"
D42_TO_D45,Property income other than interest
D42_TO_D45PAY,"Other property income, expenditure"
D42_TO_D45REC,"Other property income, revenue"
D43,Reinvested earnings on direct foreign investment
D43PAY,"Reinvested earnings on foreign direct investment, expenditure"
D43REC,"Reinvested earnings on foreign direct investment, revenue"
D43S21,Reinvested earnings of Intra-EU F.D.I.
D43S22,Reinvested earnings of Extra-EU F.D.I.
D43S2I,Reinvested earnings of Intra-EA F.D.I.
D43S2X,Reinvested earnings of Extra-EA F.D.I.
D44,Other investment income
D441,Investment income attributable to insurance policy holders
D442,Investment income payable on pensions entitlements
D443,Investment income attributable to collective investment fund shareholders
D44PAY,"Other investment income, expenditure"
D44REC,"Other investment income, revenue"
D45,Rents
D45PAY,"Rent, expenditure"
D45REC,"Rent, revenue"
D4PAY,"Property income, expenditure"
D4PAY_S1311,"Property income, expenditure, of which to subsector central government (S1311)"
D4PAY_S1312,"Property income, expenditure, of which to subsector state government (S1312)"
D4PAY_S1313,"Property income, expenditure, of which to subsector local government (S1313)"
D4PAY_S1314,"Property income, expenditure, of which to subsector social security funds (S1314)"
D4REC,"Property income, revenue"
D4_D7,Property income and other current transfers
D4_S1311,"Property income, of which payable to subsector S1311"
D4_S1312,"Property income, of which payable to subsector S1312"
D4_S1313,"Property income, of which payable to subsector S1313"
D4_S1314,"Property income, of which payable to subsector S1314"
D5,"Current taxes on income, wealth, etc."
D51,Taxes on income
D51A,Taxes on individual or household income
D51A_C1,Taxes on individual or household income including holding gains
D51A_C1REC,"Taxes on individual or household income including holding gains, revenue"
D51B,Taxes on the income or profits of corporations
D51B_C2,Taxes on the income or profits of corporations including holding gains
D51B_C2REC,"Taxes on the income or profits of corporations including holding gains, revenue"
D51C,Taxes on holding gains
D51C1,Taxes on individual or household holding gains
D51C2,Taxes on holding gains of corporations
D51C3,Other taxes on holding gains
D51D,Taxes on winnings from lottery or gambling
D51E,Other taxes on income n.e.c.
D51REC,"Taxes on income, revenue"
D59,Other current taxes
D59A,Current taxes on capital
D59B,Poll taxes
D59C,Expenditure taxes
D59D,Payments by households for licences
D59E,Taxes on international transactions
D59F,Other current taxes n.e.c.
D59REC,"Other current taxes, revenue"
D5PAY,"Current taxes on income, wealth, etc., expenditure"
D5REC,"Current taxes on income, wealth, etc., revenue"
D6,Social contributions and benefits
D61,Net social contributions
D611,Employers' actual social contributions
D6111,Employers' actual pension contributions
D6112,Employers' actual non-pension contributions
D611C,Compulsory employers' actual social contributions
D611REC,"Employers' actual social contributions, revenue"
D611V,Voluntary employers' actual social contributions
D612,Employers' imputed social contributions
D6121,Employers' imputed pension contributions
D6122,Employers' imputed non-pension contributions
D613,Households' actual social contributions
D6131,Households' actual pension contributions
D6132,Households' actual non-pension contributions
D613C,Compulsory households' actual social contributions
D613CE,Compulsory employees' actual social contributions
D613CN,Compulsory actual social contributions by the non-employed
D613CS,Compulsory actual social contributions by the self-employed
D613REC,"Households' actual social contributions, revenue"
D613V,Voluntary households' actual social contributions
D614,Households' social contributions supplements
D6141,Households' pension contributions supplements
D6142,Households' non-pension contributions supplements
D619,Other (actuarial) change of pension entitlements in social security pension schemes
D61NET,Net social contributions (RECV-PAID)
D61REC,"Net social contributions, revenue"
D61SC,Social insurance scheme service charges
D61SC_P,Minus: pension insurance scheme service charges
D61_P,Net pension contributions
D62,Social benefits other than social transfers in kind
D621PAY,"Social security benefits in cash, expenditure"
D622PAY,"Other social insurance benefits, expenditure"
D623PAY,"Social assistance benefits in cash, expenditure"
D62NET,Net social benefits other than social transfers in kind (RECV-PAID)
